Date,Close,Open,High,Low
7/23/07,"2,053.50","2,053.50","2,063.00","2,047.00"
7/24/07,"2,025.50","2,053.25","2,054.25","2,011.00"
7/25/07,"2,026.50","2,026.25","2,036.00","2,010.75"
7/26/07,"2,000.50","2,026.50","2,039.50","1,969.25"
7/27/07,"1,963.50","1,999.50","2,012.50","1,960.75"
7/30/07,"1,993.25","1,964.50","1,996.25","1,957.25"
7/31/07,"1,945.75","1,992.50","2,011.50","1,942.25"
8/1/07,"1,960.50","1,951.50","1,963.50","1,923.75"
8/2/07,"1,980.00","1,962.25","1,982.00","1,951.50"
8/3/07,"1,939.50","1,979.25","1,981.50","1,928.50"
8/6/07,"1,962.50","1,935.50","1,964.75","1,924.00"
8/7/07,"1,974.00","1,962.00","1,989.00","1,942.50"
8/8/07,"1,999.25","1,973.50","2,006.75","1,970.50"
8/9/07,"1,945.50","1,997.50","2,002.25","1,942.50"
8/10/07,"1,929.00","1,945.25","1,955.75","1,906.75"
8/13/07,"1,942.50","1,933.25","1,957.25","1,932.00"
8/14/07,"1,914.75","1,942.00","1,951.75","1,910.25"
8/15/07,"1,878.50","1,914.25","1,923.75","1,872.75"
8/16/07,"1,856.50","1,877.50","1,878.75","1,813.75"
8/17/07,"1,892.25","1,860.00","1,913.00","1,829.25"
8/20/07,"1,897.75","1,894.50","1,907.50","1,881.25"
8/21/07,"1,919.75","1,898.25","1,924.00","1,888.75"
8/22/07,"1,945.00","1,920.50","1,946.25","1,917.75"
8/23/07,"1,939.50","1,944.75","1,960.00","1,927.50"
8/24/07,"1,969.50","1,939.25","1,970.00","1,930.00"
8/27/07,"1,950.50","1,969.50","1,969.50","1,948.25"
8/28/07,"1,907.75","1,951.50","1,952.75","1,905.50"
8/29/07,"1,961.00","1,909.75","1,962.00","1,906.00"
8/30/07,"1,974.75","1,961.25","1,987.00","1,946.75"
8/31/07,"1,994.75","1,973.00","2,000.75","1,973.00"
9/4/07,"2,024.75","1,994.75","2,038.50","1,986.75"
9/5/07,"2,003.25","2,024.75","2,025.50","1,991.25"
9/6/07,"2,003.75","2,002.50","2,011.00","1,988.75"
9/7/07,"1,970.50","2,003.50","2,004.25","1,952.75"
9/10/07,"1,968.25","1,968.75","1,986.75","1,947.00"
9/11/07,"1,993.50","1,968.50","1,995.00","1,966.50"
9/12/07,"1,996.25","1,993.25","2,009.25","1,984.00"
9/13/07,"2,000.75","1,997.00","2,008.50","1,991.25"
9/14/07,"2,001.25","2,003.00","2,006.50","1,981.25"
9/17/07,"1,982.50","2,000.25","2,000.75","1,976.75"
9/18/07,"2,035.75","1,982.50","2,037.50","1,978.00"
9/19/07,"2,040.75","2,035.75","2,057.25","2,032.75"
9/20/07,"2,034.75","2,040.00","2,043.75","2,029.50"
9/21/07,"2,043.56","2,035.50","2,051.25","2,031.00"
9/24/07,"2,079.75","2,068.50","2,095.75","2,066.50"
9/25/07,"2,097.50","2,079.00","2,101.00","2,071.25"
9/26/07,"2,109.50","2,098.00","2,117.75","2,097.50"
9/27/07,"2,121.75","2,109.50","2,123.00","2,109.50"
9/28/07,"2,114.00","2,121.25","2,124.00","2,103.25"
10/1/07,"2,135.25","2,116.25","2,143.50","2,109.50"
10/2/07,"2,135.50","2,135.75","2,140.50","2,125.25"
10/3/07,"2,120.75","2,134.75","2,138.75","2,115.25"
10/4/07,"2,123.00","2,121.25","2,128.75","2,108.50"
10/5/07,"2,170.75","2,123.00","2,173.00","2,121.50"
10/8/07,"2,180.25","2,170.75","2,183.00","2,164.00"
10/9/07,"2,194.25","2,180.50","2,195.00","2,176.25"
10/10/07,"2,196.50","2,194.00","2,199.00","2,184.25"
10/11/07,"2,166.75","2,196.00","2,214.00","2,145.75"
10/12/07,"2,199.25","2,166.00","2,200.00","2,156.50"
10/15/07,"2,180.75","2,199.50","2,204.00","2,162.00"
10/16/07,"2,176.25","2,180.00","2,186.00","2,161.50"
10/17/07,"2,196.75","2,179.25","2,202.75","2,160.25"
10/18/07,"2,206.00","2,201.50","2,210.00","2,178.25"
10/19/07,"2,149.75","2,206.50","2,218.25","2,146.50"
10/22/07,"2,171.75","2,146.50","2,177.00","2,127.75"
10/23/07,"2,212.00","2,176.25","2,221.00","2,176.25"
10/24/07,"2,203.00","2,207.00","2,209.25","2,154.00"
10/25/07,"2,193.25","2,203.50","2,220.00","2,159.25"
10/26/07,"2,207.25","2,200.00","2,220.00","2,188.00"
10/29/07,"2,215.50","2,215.50","2,217.25","2,213.75"
10/30/07,"2,217.75","2,215.50","2,232.75","2,204.75"
10/31/07,"2,252.50","2,217.75","2,253.00","2,210.50"
11/1/07,"2,215.50","2,250.50","2,256.25","2,207.75"
11/2/07,"2,223.50","2,214.00","2,234.50","2,192.00"
11/5/07,"2,212.75","2,222.50","2,224.75","2,191.25"
11/6/07,"2,233.50","2,212.25","2,236.00","2,199.00"
11/7/07,"2,181.00","2,233.00","2,233.50","2,177.50"
11/8/07,"2,105.50","2,175.00","2,180.00","2,081.00"
11/9/07,"2,041.75","2,106.75","2,115.25","2,037.25"
11/12/07,"1,989.50","2,041.00","2,051.75","1,986.50"
11/13/07,"2,066.75","1,992.50","2,074.75","1,982.25"
11/14/07,"2,057.50","2,067.25","2,101.75","2,037.00"
11/15/07,"2,033.50","2,056.25","2,063.50","2,015.50"
11/16/07,"2,055.25","2,035.25","2,060.75","2,014.00"
11/19/07,"2,028.00","2,055.75","2,064.50","2,016.25"
11/20/07,"2,035.50","2,030.00","2,071.75","1,994.50"
11/21/07,"2,005.50","2,036.75","2,046.00","1,992.00"
11/23/07,"2,032.50","2,006.50","2,037.25","2,004.50"
11/26/07,"2,000.00","2,031.75","2,053.75","1,992.50"
11/27/07,"2,032.50","2,001.00","2,040.00","1,995.25"
11/28/07,"2,095.50","2,032.75","2,107.00","2,024.00"
11/29/07,"2,100.50","2,094.25","2,114.00","2,085.75"
11/30/07,"2,094.50","2,097.75","2,129.25","2,075.50"
12/3/07,"2,075.00","2,092.75","2,103.25","2,069.75"
12/4/07,"2,062.25","2,074.75","2,082.00","2,052.00"
12/5/07,"2,101.25","2,061.75","2,108.25","2,061.75"
12/6/07,"2,126.00","2,101.50","2,132.25","2,098.00"
12/7/07,"2,132.00","2,125.00","2,139.25","2,118.00"
12/10/07,"2,138.50","2,130.75","2,144.75","2,125.75"
12/11/07,"2,090.00","2,138.50","2,151.25","2,084.25"
12/12/07,"2,107.75","2,090.75","2,133.25","2,071.00"
12/13/07,"2,092.75","2,108.00","2,108.00","2,074.25"
12/14/07,"2,072.50","2,089.00","2,099.75","2,070.75"
12/17/07,"2,028.50","2,064.00","2,081.75","2,022.00"
12/18/07,"2,029.25","2,028.00","2,048.75","2,000.00"
12/19/07,"2,036.00","2,029.00","2,040.25","2,016.75"
12/20/07,"2,076.50","2,033.50","2,076.75","2,033.50"
12/21/07,"2,098.93","2,077.75","2,108.00","2,074.00"
12/24/07,"2,148.00","2,131.00","2,155.50","2,131.00"
12/26/07,"2,159.50","2,148.75","2,164.25","2,138.25"
12/27/07,"2,131.50","2,159.75","2,165.00","2,124.75"
12/28/07,"2,125.00","2,131.00","2,146.25","2,112.50"
12/31/07,"2,104.75","2,125.00","2,127.50","2,101.00"
1/2/08,"2,070.00","2,111.25","2,117.00","2,056.50"
1/3/08,"2,076.25","2,071.25","2,082.00","2,056.75"
1/4/08,"1,985.00","2,075.50","2,082.75","1,976.75"
1/7/08,"1,975.25","1,984.75","1,995.50","1,943.75"
1/8/08,"1,928.50","1,974.25","1,998.50","1,921.75"
1/9/08,"1,956.50","1,928.00","1,964.75","1,903.00"
1/10/08,"1,960.75","1,956.50","1,982.00","1,937.00"
1/11/08,"1,925.50","1,960.00","1,963.00","1,912.25"
1/14/08,"1,955.00","1,927.50","1,964.75","1,906.00"
1/15/08,"1,912.00","1,957.25","1,959.50","1,895.75"
1/16/08,"1,881.00","1,880.00","1,919.25","1,859.25"
1/17/08,"1,856.00","1,883.00","1,905.00","1,848.75"
1/18/08,"1,849.50","1,858.25","1,887.00","1,839.00"
1/22/08,"1,801.00","1,851.50","1,858.25","1,744.50"
1/23/08,"1,807.50","1,809.50","1,812.00","1,698.25"
